title,article
"
		  【 咨询】成都简阳市印山公园建设问题",目前简阳印山公园从规划到建设无实质性进展；请问该公园还继续建设吗？什么时候开工建设？
"
		  【 求助】烦请杜鹃公园公厕搭顶棚",[求助，咨询贴]尊敬的领导你们好！本人2021年购置于鑫苑城丶璟和名邸九号地九栋商品房，当初销售只说九栋面对公园，但并未提醒公园里有公厕，所以即便如今心中对环境不满意退款退房是不可能了。目前九栋已经封顶，经实地考察，该公厕正对九栋，距离很近，尤其是楼层矮的住户入住后大概率会产生影响(毕竟没有任何人希望在阳台上就近距离正对公厕吧)。所以希望领导替广大九栋住户做主，或提解决办法，可否将该公厕门口走向改向，或者搭建顶棚，这样公厕门就不至于直接正面面对九栋住户了。领导有其他解决办法和建议烦请指点，多谢。
"
		  【 求助】武胜县HPV疫苗接种点及预约时间地点预约方式",宫颈癌逐步成为女性患癌榜榜首，越来越多年轻人开始意识到hpv疫苗的重要性，9价疫苗成为年轻女性HPV疫苗的首选。但是，9价难约成为人人得知的事情。为什么难约，首先摆在我们面前的就是，不知道哪些医院可以接种，不知道什么时间在什么地方预约疫苗。希望官方平台能够告知广大群众，可以接种HPV疫苗的医院，接种点的联系方式，可以预约的时间以及预约方式。
"
		  【 咨询】攀枝花市仁和区公安局断头路",咨询一下攀枝花市仁和区火车南站连接仁拉路的这条断头路(仁和公安分局)这个位置。据我了解，下一标段的拆迁赔付工作已经在2018年的时候基本完成，拆迁对象基本都签字领取拆迁款。但是到现在为止都未动工。这个位置是一条主干道，每天来往车辆非常多，连接处的路面已经严重损坏，导致我们出行很不方便，也影响了城市形象！请问这条路段政府是如何规划的？何时可以启动？如果暂时不动工，能否对此路面进行维护修补，以保障广大人民群众的出行便捷及安全
"
		  【 投诉】买房12年领不到产权证",我于2010年购买位于涪城区翠花街107号光明华都小区住房一套。（开发商:绵阳市光明房地产开发有限责任公司）但开发商至今未办妥我的不动产证，期间我多次与其相关人员联系均以各种理由推脱、搪塞，致使该房产至今无法正常交易，对我经济上造成了一定损失，精神造成了极大的伤害！并且开发商于2013年2月收取我房产契税费9830元，于2019年3月实际交税4480元，拒不退回多余款项给我。现恳请督促开发商办好我的不动产证，连本带息退还我多余款项，维护我的合法权益，谢谢！
"
		  【 投诉】青羊区玉沙路135号小区开门费问题",每天晚上十一点就关门  每次开门  一个人头竟然收2元钱   接个人都要算成4元钱   乱收费太严重了望解决。
"
		  【 投诉】小区楼顶违建铁皮房屋！投诉无门！",南部县水景湾小区楼顶搭建的铁皮房什么时候能处理？多次投诉为什么不处理！难道需要投诉国务院才会处理吗？今夜大风哐哐哐哐巨响！睡梦中被巨响惊醒！简直让人抓狂！到底能不能处理？到底要如何才会处理这些违章建筑！
"
		  【 投诉】关于取缔融城云熙黑旅店",青羊区顺城大街316号融城云熙小区，小区1-6楼为商业，分别为农行办公、温莎KTV、全季酒店；7-29层为居住型住房，但确有将近半数小区住宅被改为黑旅店，进行商业用途经营，小区来往人员复杂，自住业主们苦不堪言，长达数年之久，近几年来小区很多业主多次拨打12345市长热线和110报警均效果甚微。一直未有相关部门督导管理；在本次成都疫情刚出现时，就有业主在小区业主群内提示做好小区防控，杜绝黑旅店人员进出，把控好防疫关；此消息并没有引起相关黑旅店老板和工作人员的重视，依然每天住往人员络绎不绝，且单房间入住人员较多，少则1-2人，多则5-6人；当小区安保人员盘问登记时，黑旅店工作人员还给打掩护。导致4月初疫情在小区18楼黑旅店爆发，18楼临近住户被拉至酒店隔离，全楼其他居民被封闭在家中，影响了大家正常的工作和学习。同时，黑旅店前期被查处过治安事件也较多。我们目前在居家隔离期间，也向社区工作人员提出的解封后防疫保控需求：先暂停黑旅店的营业，各平台下架房间信息，清除目前黑旅店内在住人员。至少先要确保至大运会期间小区内的防疫巩固工作，避免此类群体居家隔离事件再次发生。但需还居住人员一个安全生活空间，还请相关执法部门尽快清理取缔黑旅店，才能让小区长治久安。
"
		  【 咨询】姐儿堰社区何时配建惠民菜市",高新区锦韵路育才竹岛、远大1-4期、嘉年华国际社区、齐盛艺境等周边方圆两公里范围内未配建有惠民菜市、健身篮球场、羽毛球场等群众开放性运动设施，造成周边数万群众买菜远、买菜贵、买菜难和无场地健身，肯请各级政府领导关心重视、尽快解决为谢！
"
		  【 求助】牛滩天天停水！",牛滩连续三天停水，每天晚上都没有水，这几天这么热，每天停水怎么洗澡！4月9日晚上9点左右说因潮河水厂供牛滩的自来水主管道爆管停水抢修，4月10日下午三点左右说因潮河水厂供牛滩片区的自来水供水不足又停止供水，今天11日中午12点又因潮河水厂供牛滩片区的自来水供水不足又停止供水，天天停水，还都是天气这么热的时候，请问到底什么时候才能保证供水，牛滩镇九中几千名师生天天无法洗澡，基本生活需求都保证不了，如何提高人民群众生活幸福感。
